X[s],Avanti Sensor 1: Roll 1 [degrees],X[s],Avanti Sensor 1: Pitch 1 [degrees],X[s],Avanti Sensor 1: Yaw 1 [degrees]
1.26,-1.6173021293168208,1.26,-0.5637926713868509,1.26,-94.36173653007361
1.275,-1.6182347968731023,1.275,-0.5660347776859992,1.275,-94.32868164701195
1.29,-1.6147279582638538,1.29,-0.5662099588516072,1.29,-94.3075707032379
1.305,-1.6172682613078742,1.305,-0.566026165440789,1.305,-94.29596300988409
1.32,-1.6164450273527462,1.32,-0.5643778697895292,1.32,-94.29883981943077
1.335,-1.6176378421038056,1.335,-0.560138206889641,1.335,-94.28506767435202
1.35,-1.6142963135472903,1.35,-0.5603594066339763,1.35,-94.26514796258947
1.365,-1.610826436351658,1.365,-0.5616442908775753,1.365,-94.21945711051474
1.38,-1.6126249319227577,1.38,-0.5592597696841958,1.38,-94.19053514790565
1.395,-1.6086068024248805,1.395,-0.5595648422221617,1.395,-94.16220790887576
1.41,-1.6094563701751678,1.41,-0.5594403437735627,1.41,-94.14000176048991
1.425,-1.6139440087557118,1.425,-0.5603094362031389,1.425,-94.10588745461806
1.44,-1.6150880871913218,1.44,-0.5576917214136725,1.44,-94.10070919757995
1.455,-1.6151528308198382,1.455,-0.5627075943296478,1.455,-94.09931539851962
1.47,-1.6055119772972197,1.47,-0.5632142910499027,1.47,-94.08474809218623
1.485,-1.6054829076279578,1.485,-0.5613043613574789,1.485,-94.06374517011527
1.5,-1.6008062771350218,1.5,-0.5649009356196105,1.5,-94.04785830958399
1.515,-1.6003319949945927,1.515,-0.5633354028449764,1.515,-94.02920224046234
1.53,-1.5956592570149155,1.53,-0.5614390260076466,1.53,-94.03926155991672
1.545,-1.5977522781836406,1.545,-0.5617291605269699,1.545,-93.98247287801736
1.56,-1.600850713488958,1.56,-0.5626651637011072,1.56,-93.95594943711836
1.575,-1.6063228345847531,1.575,-0.5615441674916857,1.575,-93.95635012426348
1.59,-1.6106729323684503,1.59,-0.561375507887156,1.59,-93.93841622966382
1.605,-1.6105404570649582,1.605,-0.5628287275117648,1.605,-93.9315209667671
1.62,-1.6105802374261158,1.62,-0.5611988629354256,1.62,-93.92229905377717
1.635,-1.6116924821285579,1.635,-0.5619991138184317,1.635,-93.90449967022286
1.65,-1.6063353479978344,1.65,-0.5566783946931614,1.65,-93.88250197685362
1.665,-1.6045475453920035,1.665,-0.552907115195998,1.665,-93.87764668165359
1.68,-1.6004536363780655,1.68,-0.5524218182848046,1.68,-93.82491735752673
1.695,-1.6027973202725034,1.695,-0.5475951394202465,1.695,-93.80199675097637
1.71,-1.6021118136796593,1.71,-0.5438442057464694,1.71,-93.77267392539494
1.725,-1.606790563497496,1.725,-0.5440755808469612,1.725,-93.71973776451348
1.74,-1.6063246662199053,1.74,-0.5427981247497111,1.74,-93.71622226574415
1.755,-1.6003903625928864,1.755,-0.5398146003635864,1.755,-93.69976292820999
1.77,-1.6034937463862071,1.77,-0.5373580205384402,1.77,-93.71423432085174
1.785,-1.601498406771295,1.785,-0.5366625018249905,1.785,-93.68907911760742
1.8,-1.5946956186325894,1.8,-0.5334727173194992,1.8,-93.65452552614093
1.815,-1.5957460364914025,1.815,-0.5299983094044111,1.815,-93.63915780378682
1.83,-1.5994740900545024,1.83,-0.5330283668364283,1.83,-93.6430190515725
1.845,-1.5950474175438707,1.845,-0.5349947955628258,1.845,-93.64111594441711
1.86,-1.595293217315628,1.86,-0.535402263209925,1.86,-93.6190059719513
1.875,-1.5927611104550323,1.875,-0.5312988459406367,1.875,-93.61198102158953
1.89,-1.594781159453758,1.89,-0.5244711298329224,1.89,-93.6125699309083
1.905,-1.594676728063449,1.905,-0.5217838443831359,1.905,-93.6074034991099
1.92,-1.6003513352723628,1.92,-0.5195846288626695,1.92,-93.58956262963498
1.935,-1.6012721179984444,1.935,-0.5216507989154894,1.935,-93.56595519495444
1.95,-1.6017711919669388,1.95,-0.5212549287669567,1.95,-93.54755431358097
1.965,-1.6002329183758552,1.965,-0.5243622556413495,1.965,-93.51437923525894
1.98,-1.6006344091252462,1.98,-0.5201553446684088,1.98,-93.5023758409518
1.995,-1.6024632134492576,1.995,-0.5223949429962054,1.995,-93.47912691976254
2.01,-1.7353089967906221,2.01,-0.5747060428141438,2.01,-93.31159791889418
2.025,-1.8168271396265436,2.025,-0.5791657244217007,2.025,-92.4883424100356
2.04,-2.918943905746843,2.04,-0.5197086591904109,2.04,-91.02229747962954
2.055,-3.010076774661638,2.055,-0.4692885338593099,2.055,-90.50879049115728
2.07,-2.9927430460932976,2.07,-0.48742907406853436,2.07,-90.39681946665578
2.085,-2.8765352991112163,2.085,-0.48418176293737686,2.085,-90.33664092956695
2.1,-2.9679122059549843,2.1,-0.4721856568585951,2.1,-90.30130139405489
2.115,-3.213698517792552,2.115,-0.47201604874110087,2.115,-90.24714495555803
2.13,-3.5597333157921183,2.13,-0.48068797437393834,2.13,-90.18476148796103
2.145,-3.951504996754307,2.145,-0.4902591188819198,2.145,-90.202216829881
2.16,-4.4961946005244116,2.16,-0.4835867187556167,2.16,-90.25962451511093
2.175,-4.853507812038771,2.175,-0.4931064463052095,2.175,-90.25045755806961
2.19,-5.329571047807594,2.19,-0.46998208337814734,2.19,-90.09885831975511
2.205,-5.723618674159878,2.205,-0.45894941250926036,2.205,-89.91099263970469
2.22,-6.525696013211081,2.22,-0.427193427397146,2.22,-89.47554692491066
2.235,-6.524990423118491,2.235,-0.28054675385379857,2.235,-89.3753474801539
2.25,-6.6040353433117325,2.25,-0.18143824062752875,2.25,-89.4567193842489
2.265,-7.106811752175813,2.265,-0.14393817800229913,2.265,-89.61113217640755
2.28,-7.769736861293713,2.28,-0.12394762725944805,2.28,-89.552629055502
2.295,-9.071815173604255,2.295,-0.09534509840618757,2.295,-89.34224801435786
2.31,-10.496332073644993,2.31,-0.13743780456540347,2.31,-89.03990995390751
2.325,-12.388276732184577,2.325,-0.08104122438851719,2.325,-88.62555072849115
2.34,-15.185893047501766,2.34,-0.21625534691493595,2.34,-88.19037972721765
2.355,-17.122691866593915,2.355,-0.04034507479811988,2.355,-88.00411164653971
2.37,-19.3325786299276,2.37,-0.07966791116724392,2.37,-87.65114931653487
2.385,-20.89306435630389,2.385,-0.16693181705264615,2.385,-87.22875801803184
2.4,-22.599387004764676,2.4,-0.17328089854001677,2.4,-86.64576590208931
