# Label: Avanti Sensor 1: EMG 1 Sampling frequency: 1.000000e+003 Number of points: 33000 X start: 0.000000e+000 Unit: V Domain Unit: s
# Label: Avanti Sensor 1: Pitch 1 Sampling frequency: 6.666667e+001 Number of points: 2200 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Roll 1 Sampling frequency: 6.666667e+001 Number of points: 2200 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Yaw 1 Sampling frequency: 6.666667e+001 Number of points: 2200 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Start Trigger Method: None
# Stop Trigger Method: None
# Use Camera: NO
# Video File Path: 
# System Gain: 1.500000e+002
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
X [s],Avanti Sensor 1: EMG 1 [V],X [s],Avanti Sensor 1: Pitch 1 [degrees],X [s],Avanti Sensor 1: Roll 1 [degrees],X [s],Avanti Sensor 1: Yaw 1 [degrees]
9.40000e-002,1.05782e-002,1.41000e+000,-1.78599e+000,1.41000e+000,-3.47138e-001,1.41000e+000,-9.42118e+001
9.50000e-002,9.03331e-003,1.42500e+000,-1.78575e+000,1.42500e+000,-3.49790e-001,1.42500e+000,-9.41972e+001
9.60000e-002,6.11743e-003,1.44000e+000,-1.78951e+000,1.44000e+000,-3.49348e-001,1.44000e+000,-9.41779e+001
9.70000e-002,2.87324e-003,1.45500e+000,-1.79087e+000,1.45500e+000,-3.46887e-001,1.45500e+000,-9.42049e+001
9.80000e-002,-3.80346e-004,1.47000e+000,-1.78960e+000,1.47000e+000,-3.50293e-001,1.47000e+000,-9.42330e+001
9.90000e-002,-3.79574e-003,1.48500e+000,-1.79079e+000,1.48500e+000,-3.54582e-001,1.48500e+000,-9.42129e+001
1.00000e-001,-7.65225e-003,1.50000e+000,-1.78851e+000,1.50000e+000,-3.56807e-001,1.50000e+000,-9.41699e+001
1.01000e-001,-1.07702e-002,1.51500e+000,-1.79006e+000,1.51500e+000,-3.59000e-001,1.51500e+000,-9.42003e+001
1.02000e-001,-1.09871e-002,1.53000e+000,-1.78568e+000,1.53000e+000,-3.58220e-001,1.53000e+000,-9.41995e+001
1.03000e-001,-1.06739e-002,1.54500e+000,-1.78922e+000,1.54500e+000,-3.57477e-001,1.54500e+000,-9.41998e+001
1.04000e-001,-8.30149e-003,1.56000e+000,-1.78840e+000,1.56000e+000,-3.59381e-001,1.56000e+000,-9.41841e+001
1.05000e-001,-4.26438e-003,1.57500e+000,-1.78762e+000,1.57500e+000,-3.53751e-001,1.57500e+000,-9.41935e+001
1.06000e-001,-4.19623e-004,1.59000e+000,-1.78778e+000,1.59000e+000,-3.57033e-001,1.59000e+000,-9.42130e+001
1.07000e-001,3.19753e-003,1.60500e+000,-1.78592e+000,1.60500e+000,-3.59776e-001,1.60500e+000,-9.42360e+001
1.08000e-001,6.75358e-003,1.62000e+000,-1.78653e+000,1.62000e+000,-3.55887e-001,1.62000e+000,-9.42748e+001
1.09000e-001,9.89706e-003,1.63500e+000,-1.78287e+000,1.63500e+000,-3.54205e-001,1.63500e+000,-9.42744e+001
1.10000e-001,1.07994e-002,1.65000e+000,-1.77955e+000,1.65000e+000,-3.53915e-001,1.65000e+000,-9.42837e+001
1.11000e-001,1.04050e-002,1.66500e+000,-1.78081e+000,1.66500e+000,-3.55415e-001,1.66500e+000,-9.42729e+001
1.12000e-001,8.42704e-003,1.68000e+000,-1.77993e+000,1.68000e+000,-3.60636e-001,1.68000e+000,-9.42700e+001
1.13000e-001,5.28826e-003,1.69500e+000,-1.78643e+000,1.69500e+000,-3.58572e-001,1.69500e+000,-9.42811e+001
1.14000e-001,2.00043e-003,1.71000e+000,-1.78636e+000,1.71000e+000,-3.58251e-001,1.71000e+000,-9.42751e+001
1.15000e-001,-1.36059e-003,1.72500e+000,-1.78301e+000,1.72500e+000,-3.56617e-001,1.72500e+000,-9.42609e+001
1.16000e-001,-4.89885e-003,1.74000e+000,-1.78347e+000,1.74000e+000,-3.59153e-001,1.74000e+000,-9.42411e+001
1.17000e-001,-8.96046e-003,1.75500e+000,-1.78295e+000,1.75500e+000,-3.66654e-001,1.75500e+000,-9.42384e+001
1.18000e-001,-1.09817e-002,1.77000e+000,-1.78698e+000,1.77000e+000,-3.64939e-001,1.77000e+000,-9.42316e+001
1.19000e-001,-1.09105e-002,1.78500e+000,-1.78453e+000,1.78500e+000,-3.66836e-001,1.78500e+000,-9.42616e+001
1.20000e-001,-1.02643e-002,1.80000e+000,-1.78530e+000,1.80000e+000,-3.70778e-001,1.80000e+000,-9.42572e+001
1.21000e-001,-7.04833e-003,1.81500e+000,-1.78441e+000,1.81500e+000,-3.67890e-001,1.81500e+000,-9.42467e+001
1.22000e-001,-2.99544e-003,1.83000e+000,-1.78131e+000,1.83000e+000,-3.68154e-001,1.83000e+000,-9.42286e+001
