# Label: Avanti Sensor 1: Pitch 1 Sampling frequency: 6.666667e+001 Number of points: 4158 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Roll 1 Sampling frequency: 6.666667e+001 Number of points: 4158 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Yaw 1 Sampling frequency: 6.666667e+001 Number of points: 4158 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Start Trigger Method: None
# Stop Trigger Method: None
# Use Camera: NO
# Video File Path: 
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
X [s],Avanti Sensor 1: Pitch 1 [degrees],Avanti Sensor 1: Roll 1 [degrees],Avanti Sensor 1: Yaw 1 [degrees]
2.505000e+000,-9.370121e-001,-3.522473e-001,-1.484680e+001
2.520000e+000,-9.446707e-001,-3.497139e-001,-1.484771e+001
2.535000e+000,-9.495493e-001,-3.516143e-001,-1.485696e+001
2.550000e+000,-9.482185e-001,-3.487362e-001,-1.485974e+001
2.565000e+000,-9.455777e-001,-3.469581e-001,-1.487407e+001
2.580000e+000,-9.396316e-001,-3.467726e-001,-1.487655e+001
2.595000e+000,-9.403422e-001,-3.455435e-001,-1.487921e+001
2.610000e+000,-9.399142e-001,-3.437827e-001,-1.486085e+001
2.625000e+000,-9.401577e-001,-3.423613e-001,-1.486703e+001
2.640000e+000,-9.406225e-001,-3.424158e-001,-1.487131e+001
2.655000e+000,-9.364894e-001,-3.431319e-001,-1.489380e+001
2.670000e+000,-9.324952e-001,-3.443455e-001,-1.488115e+001
2.685000e+000,-9.284248e-001,-3.435609e-001,-1.485297e+001
2.700000e+000,-9.270310e-001,-3.441398e-001,-1.485154e+001
2.715000e+000,-9.242350e-001,-3.436524e-001,-1.483095e+001
2.730000e+000,-9.198580e-001,-3.449923e-001,-1.483652e+001
2.745000e+000,-9.231215e-001,-3.434904e-001,-1.487609e+001
2.760000e+000,-9.226620e-001,-3.442192e-001,-1.487741e+001
2.775000e+000,-9.256148e-001,-3.417280e-001,-1.488838e+001
2.790000e+000,-9.278036e-001,-3.365251e-001,-1.490374e+001
2.805000e+000,-9.286376e-001,-3.392072e-001,-1.492349e+001
2.820000e+000,-9.279912e-001,-3.325569e-001,-1.492488e+001
2.835000e+000,-9.298851e-001,-3.328556e-001,-1.492732e+001
2.850000e+000,-9.304382e-001,-3.318781e-001,-1.492279e+001
2.865000e+000,-9.259766e-001,-3.337196e-001,-1.492949e+001
2.880000e+000,-9.268180e-001,-3.337700e-001,-1.495038e+001
2.895000e+000,-9.310268e-001,-3.382657e-001,-1.496501e+001
2.910000e+000,-9.281387e-001,-3.382763e-001,-1.499495e+001
2.925000e+000,-9.315228e-001,-3.414105e-001,-1.497687e+001
2.940000e+000,-9.301494e-001,-3.416247e-001,-1.499019e+001
2.955000e+000,-9.293651e-001,-3.381489e-001,-1.498815e+001
2.970000e+000,-9.290729e-001,-3.398405e-001,-1.498775e+001
2.985000e+000,-9.244183e-001,-3.411663e-001,-1.497665e+001
3.000000e+000,-9.277218e-001,-3.329934e-001,-1.497651e+001
3.015000e+000,-9.249117e-001,-3.399179e-001,-1.500353e+001
3.030000e+000,-9.239952e-001,-3.402946e-001,-1.500130e+001
3.045000e+000,-9.231191e-001,-3.439535e-001,-1.498534e+001
3.060000e+000,-9.254760e-001,-3.483996e-001,-1.497577e+001
3.075000e+000,-9.260153e-001,-3.541248e-001,-1.494799e+001
3.090000e+000,-9.284926e-001,-3.538270e-001,-1.497502e+001
3.105000e+000,-9.336035e-001,-3.522106e-001,-1.497512e+001
3.120000e+000,-9.279349e-001,-3.504975e-001,-1.498713e+001
3.135000e+000,-9.293838e-001,-3.494941e-001,-1.497543e+001
3.150000e+000,-9.289661e-001,-3.491080e-001,-1.500235e+001
3.165000e+000,-9.291688e-001,-3.536073e-001,-1.500859e+001
3.180000e+000,-9.277424e-001,-3.514487e-001,-1.501472e+001
3.195000e+000,-9.261580e-001,-3.523218e-001,-1.501056e+001
3.210000e+000,-9.333857e-001,-3.476656e-001,-1.500073e+001
3.225000e+000,-9.344398e-001,-3.479797e-001,-1.500768e+001
3.240000e+000,-9.315317e-001,-3.497605e-001,-1.501404e+001
3.255000e+000,-9.275196e-001,-3.446935e-001,-1.502099e+001
3.270000e+000,-9.250885e-001,-3.452702e-001,-1.502510e+001
3.285000e+000,-9.273161e-001,-3.402364e-001,-1.502160e+001
3.300000e+000,-9.345510e-001,-3.420142e-001,-1.504309e+001
3.315000e+000,-9.338793e-001,-3.468190e-001,-1.505755e+001
3.330000e+000,-9.354970e-001,-3.458534e-001,-1.503127e+001
3.345000e+000,-9.309444e-001,-3.430349e-001,-1.505294e+001
3.360000e+000,-9.336349e-001,-3.328185e-001,-1.505989e+001
3.375000e+000,-9.313282e-001,-3.337350e-001,-1.507562e+001
3.390000e+000,-9.324111e-001,-3.360387e-001,-1.506749e+001
3.405000e+000,-9.344277e-001,-3.377140e-001,-1.504559e+001
3.420000e+000,-9.347174e-001,-3.355050e-001,-1.506217e+001
3.435000e+000,-9.412949e-001,-3.333302e-001,-1.506917e+001
3.450000e+000,-9.360796e-001,-3.373871e-001,-1.508075e+001
3.465000e+000,-9.393968e-001,-3.321588e-001,-1.511103e+001
3.480000e+000,-9.373630e-001,-3.321466e-001,-1.511141e+001
3.495000e+000,-9.324574e-001,-3.307337e-001,-1.512637e+001
3.510000e+000,-9.348670e-001,-3.264242e-001,-1.513093e+001
3.525000e+000,-9.329773e-001,-3.286672e-001,-1.512662e+001
3.540000e+000,-9.318209e-001,-3.246746e-001,-1.511920e+001
3.555000e+000,-9.295617e-001,-3.294570e-001,-1.513057e+001
3.570000e+000,-9.287254e-001,-3.290250e-001,-1.513046e+001
3.585000e+000,-9.273354e-001,-3.341314e-001,-1.515187e+001
3.600000e+000,-9.252315e-001,-3.318864e-001,-1.513871e+001
3.615000e+000,-9.262028e-001,-3.241780e-001,-1.514145e+001
3.630000e+000,-9.258252e-001,-3.248629e-001,-1.513167e+001
3.645000e+000,-9.261555e-001,-3.274784e-001,-1.515299e+001
3.660000e+000,-9.311687e-001,-3.256144e-001,-1.515569e+001
3.675000e+000,-9.314460e-001,-3.240560e-001,-1.515635e+001
3.690000e+000,-9.355526e-001,-3.249021e-001,-1.518546e+001
3.705000e+000,-9.357469e-001,-3.292162e-001,-1.521246e+001
3.720000e+000,-9.340416e-001,-3.274337e-001,-1.522967e+001
3.735000e+000,-9.325305e-001,-3.273521e-001,-1.520212e+001
3.750000e+000,-9.353200e-001,-3.232696e-001,-1.517576e+001
3.765000e+000,-9.360029e-001,-3.215740e-001,-1.514313e+001
3.780000e+000,-9.293076e-001,-3.217101e-001,-1.516226e+001
3.795000e+000,-9.272391e-001,-3.182038e-001,-1.514288e+001
3.810000e+000,-9.272299e-001,-3.192956e-001,-1.516469e+001
3.825000e+000,-9.291776e-001,-3.184013e-001,-1.517751e+001
3.840000e+000,-9.336626e-001,-3.170265e-001,-1.516088e+001
3.855000e+000,-9.341663e-001,-3.206428e-001,-1.516880e+001
3.870000e+000,-9.377757e-001,-3.125417e-001,-1.515326e+001
3.885000e+000,-9.385858e-001,-3.154999e-001,-1.511972e+001
3.900000e+000,-9.452425e-001,-3.161414e-001,-1.514485e+001
3.915000e+000,-9.471084e-001,-3.161960e-001,-1.515028e+001
3.930000e+000,-9.455613e-001,-3.149648e-001,-1.515784e+001
3.945000e+000,-9.469008e-001,-3.136326e-001,-1.519633e+001
3.960000e+000,-9.429336e-001,-3.105610e-001,-1.519340e+001
3.975000e+000,-9.453545e-001,-3.085513e-001,-1.516605e+001
3.990000e+000,-9.436411e-001,-3.109679e-001,-1.516118e+001
4.005000e+000,-9.424117e-001,-3.068787e-001,-1.516266e+001
4.020000e+000,-9.433796e-001,-3.035582e-001,-1.516401e+001
4.035000e+000,-9.397259e-001,-3.063787e-001,-1.516546e+001
4.050000e+000,-9.438057e-001,-3.042270e-001,-1.519890e+001
4.065000e+000,-9.433973e-001,-3.027021e-001,-1.522414e+001
4.080000e+000,-9.432046e-001,-3.009434e-001,-1.523852e+001
4.095000e+000,-9.430828e-001,-3.031024e-001,-1.523604e+001
4.110000e+000,-9.443480e-001,-3.088143e-001,-1.524369e+001
4.125000e+000,-9.446455e-001,-3.073267e-001,-1.522749e+001
4.140000e+000,-9.434943e-001,-3.083270e-001,-1.521431e+001
4.155000e+000,-9.469705e-001,-3.060257e-001,-1.520880e+001
4.170000e+000,-9.481143e-001,-3.063778e-001,-1.522682e+001
4.185000e+000,-9.461851e-001,-3.101354e-001,-1.521919e+001
4.200000e+000,-9.489018e-001,-3.081605e-001,-1.519933e+001
4.215000e+000,-9.457762e-001,-3.096706e-001,-1.522198e+001
4.230000e+000,-9.450245e-001,-3.124260e-001,-1.518271e+001
4.245000e+000,-9.425718e-001,-3.120882e-001,-1.518559e+001
4.260000e+000,-9.406437e-001,-3.128823e-001,-1.516621e+001
4.275000e+000,-9.432739e-001,-3.089629e-001,-1.516500e+001
4.290000e+000,-9.440702e-001,-3.116380e-001,-1.517719e+001
4.305000e+000,-9.417340e-001,-3.031987e-001,-1.519196e+001
4.320000e+000,-9.421161e-001,-3.042707e-001,-1.521007e+001
4.335000e+000,-9.438775e-001,-3.016232e-001,-1.518421e+001
4.350000e+000,-9.436253e-001,-3.009976e-001,-1.518130e+001
4.365000e+000,-9.390889e-001,-3.023545e-001,-1.517751e+001
4.380000e+000,-9.359191e-001,-2.966891e-001,-1.515820e+001
4.395000e+000,-9.321293e-001,-2.946594e-001,-1.514298e+001
4.410000e+000,-9.366571e-001,-2.905699e-001,-1.513692e+001
