# Label: Avanti Sensor 1: EMG 1 Sampling frequency: 1.000000e+003 Number of points: 21690 X start: 0.000000e+000 Unit: V Domain Unit: s
# Label: Avanti Sensor 1: Pitch 1 Sampling frequency: 6.666667e+001 Number of points: 1446 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Roll 1 Sampling frequency: 6.666667e+001 Number of points: 1446 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Yaw 1 Sampling frequency: 6.666667e+001 Number of points: 1446 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Start Trigger Method: None
# Stop Trigger Method: None
# Use Camera: NO
# Video File Path: 
# System Gain: 1.500000e+002
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
X [s],Avanti Sensor 1: EMG 1 [V],X [s],Avanti Sensor 1: Pitch 1 [degrees],X [s],Avanti Sensor 1: Roll 1 [degrees],X [s],Avanti Sensor 1: Yaw 1 [degrees]
4.70000e-002,9.40258e-003,7.05000e-001,-7.30277e+001,7.05000e-001,2.73833e+001,7.05000e-001,-8.07615e+001
4.80000e-002,9.14409e-003,7.20000e-001,-7.35049e+001,7.20000e-001,2.68528e+001,7.20000e-001,-8.01623e+001
4.90000e-002,9.02257e-003,7.35000e-001,-7.41357e+001,7.35000e-001,2.61794e+001,7.35000e-001,-7.93306e+001
5.00000e-002,8.87419e-003,7.50000e-001,-7.47445e+001,7.50000e-001,2.57358e+001,7.50000e-001,-7.84509e+001
5.10000e-002,8.72380e-003,7.65000e-001,-7.51215e+001,7.65000e-001,2.55015e+001,7.65000e-001,-7.79111e+001
5.20000e-002,8.58280e-003,7.80000e-001,-7.53590e+001,7.80000e-001,2.55302e+001,7.80000e-001,-7.75528e+001
5.30000e-002,8.44315e-003,7.95000e-001,-7.53045e+001,7.95000e-001,2.58861e+001,7.95000e-001,-7.72294e+001
5.40000e-002,7.76504e-003,8.10000e-001,-7.48512e+001,8.10000e-001,2.61513e+001,8.10000e-001,-7.68474e+001
5.50000e-002,1.13701e-003,8.25000e-001,-7.39725e+001,8.25000e-001,2.67466e+001,8.25000e-001,-7.64805e+001
5.60000e-002,-9.97360e-003,8.40000e-001,-7.31762e+001,8.40000e-001,2.73170e+001,8.40000e-001,-7.62993e+001
5.70000e-002,-1.09847e-002,8.55000e-001,-7.23254e+001,8.55000e-001,2.78890e+001,8.55000e-001,-7.61829e+001
5.80000e-002,-1.09871e-002,8.70000e-001,-7.12637e+001,8.70000e-001,2.85918e+001,8.70000e-001,-7.61685e+001
5.90000e-002,-1.09877e-002,8.85000e-001,-7.05379e+001,8.85000e-001,2.91095e+001,8.85000e-001,-7.62286e+001
6.00000e-002,-1.09881e-002,9.00000e-001,-6.97384e+001,9.00000e-001,2.98511e+001,9.00000e-001,-7.63669e+001
6.10000e-002,-1.09881e-002,9.15000e-001,-6.92795e+001,9.15000e-001,3.04383e+001,9.15000e-001,-7.65855e+001
6.20000e-002,-1.09881e-002,9.30000e-001,-6.89765e+001,9.30000e-001,3.09012e+001,9.30000e-001,-7.68202e+001
6.30000e-002,-1.09884e-002,9.45000e-001,-6.86773e+001,9.45000e-001,3.12779e+001,9.45000e-001,-7.71860e+001
6.40000e-002,-1.09884e-002,9.60000e-001,-6.85321e+001,9.60000e-001,3.14624e+001,9.60000e-001,-7.75407e+001
6.50000e-002,-1.09881e-002,9.75000e-001,-6.83998e+001,9.75000e-001,3.16378e+001,9.75000e-001,-7.80318e+001
6.60000e-002,-1.09888e-002,9.90000e-001,-6.83224e+001,9.90000e-001,3.17359e+001,9.90000e-001,-7.83685e+001
6.70000e-002,-1.09888e-002,1.00500e+000,-6.82038e+001,1.00500e+000,3.18258e+001,1.00500e+000,-7.88166e+001
6.80000e-002,-1.09072e-002,1.02000e+000,-6.81195e+001,1.02000e+000,3.18289e+001,1.02000e+000,-7.91125e+001
6.90000e-002,-1.07111e-002,1.03500e+000,-6.80511e+001,1.03500e+000,3.17529e+001,1.03500e+000,-7.93526e+001
7.00000e-002,-1.05198e-002,1.05000e+000,-6.80109e+001,1.05000e+000,3.15932e+001,1.05000e+000,-7.96617e+001
7.10000e-002,-1.03341e-002,1.06500e+000,-6.79911e+001,1.06500e+000,3.14590e+001,1.06500e+000,-7.99034e+001
7.20000e-002,-1.01539e-002,1.08000e+000,-6.79837e+001,1.08000e+000,3.12753e+001,1.08000e+000,-8.01964e+001
7.30000e-002,-9.95245e-003,1.09500e+000,-6.79793e+001,1.09500e+000,3.10320e+001,1.09500e+000,-8.03312e+001
7.40000e-002,-7.80902e-003,1.11000e+000,-6.79611e+001,1.11000e+000,3.07453e+001,1.11000e+000,-8.03063e+001
7.50000e-002,-4.42148e-003,1.12500e+000,-6.79339e+001,1.12500e+000,3.04651e+001,1.12500e+000,-8.01617e+001
7.60000e-002,-1.35454e-003,1.14000e+000,-6.78887e+001,1.14000e+000,3.03054e+001,1.14000e+000,-7.99981e+001
7.70000e-002,6.88786e-003,1.15500e+000,-6.79063e+001,1.15500e+000,3.01100e+001,1.15500e+000,-7.98840e+001
7.80000e-002,1.08703e-002,1.17000e+000,-6.79516e+001,1.17000e+000,3.00098e+001,1.17000e+000,-7.98738e+001
7.90000e-002,1.08750e-002,1.18500e+000,-6.79869e+001,1.18500e+000,2.99246e+001,1.18500e+000,-7.98450e+001
8.00000e-002,1.08746e-002,1.20000e+000,-6.79659e+001,1.20000e+000,2.99521e+001,1.20000e+000,-7.98069e+001
8.10000e-002,1.08750e-002,1.21500e+000,-6.79152e+001,1.21500e+000,2.99985e+001,1.21500e+000,-7.97360e+001
8.20000e-002,1.08750e-002,1.23000e+000,-6.78166e+001,1.23000e+000,3.00531e+001,1.23000e+000,-7.95708e+001
8.30000e-002,1.08071e-002,1.24500e+000,-6.77209e+001,1.24500e+000,3.00891e+001,1.24500e+000,-7.94251e+001
8.40000e-002,1.06051e-002,1.26000e+000,-6.75389e+001,1.26000e+000,3.01709e+001,1.26000e+000,-7.91708e+001
8.50000e-002,1.04110e-002,1.27500e+000,-6.74006e+001,1.27500e+000,3.02476e+001,1.27500e+000,-7.89990e+001
8.60000e-002,1.02230e-002,1.29000e+000,-6.72533e+001,1.29000e+000,3.03406e+001,1.29000e+000,-7.88372e+001
8.70000e-002,9.45428e-003,1.30500e+000,-6.70807e+001,1.30500e+000,3.04650e+001,1.30500e+000,-7.86275e+001
8.80000e-002,1.18334e-003,1.32000e+000,-6.69978e+001,1.32000e+000,3.05351e+001,1.32000e+000,-7.85245e+001
8.90000e-002,-8.73219e-003,1.33500e+000,-6.68993e+001,1.33500e+000,3.06345e+001,1.33500e+000,-7.84060e+001
9.00000e-002,-1.09837e-002,1.35000e+000,-6.68234e+001,1.35000e+000,3.07528e+001,1.35000e+000,-7.82759e+001
9.10000e-002,-1.09871e-002,1.36500e+000,-6.67130e+001,1.36500e+000,3.09104e+001,1.36500e+000,-7.81120e+001
9.20000e-002,-1.09877e-002,1.38000e+000,-6.66773e+001,1.38000e+000,3.09787e+001,1.38000e+000,-7.80330e+001
9.30000e-002,-1.09240e-002,1.39500e+000,-6.66571e+001,1.39500e+000,3.10263e+001,1.39500e+000,-7.79645e+001
9.40000e-002,-1.07246e-002,1.41000e+000,-6.66442e+001,1.41000e+000,3.10534e+001,1.41000e+000,-7.78941e+001
9.50000e-002,-1.05295e-002,1.42500e+000,-6.66366e+001,1.42500e+000,3.10740e+001,1.42500e+000,-7.78653e+001
9.60000e-002,-9.48247e-003,1.44000e+000,-6.66051e+001,1.44000e+000,3.12014e+001,1.44000e+000,-7.78095e+001
9.70000e-002,-4.55174e-003,1.45500e+000,-6.65388e+001,1.45500e+000,3.13565e+001,1.45500e+000,-7.77321e+001
9.80000e-002,-9.20150e-004,1.47000e+000,-6.64422e+001,1.47000e+000,3.15103e+001,1.47000e+000,-7.76445e+001
9.90000e-002,-8.72783e-003,1.48500e+000,-6.63019e+001,1.48500e+000,3.16925e+001,1.48500e+000,-7.75563e+001
1.00000e-001,-9.95178e-003,1.50000e+000,-6.62481e+001,1.50000e+000,3.18012e+001,1.50000e+000,-7.75654e+001
1.01000e-001,-6.46857e-003,1.51500e+000,-6.62876e+001,1.51500e+000,3.18821e+001,1.51500e+000,-7.77590e+001
1.02000e-001,4.28452e-003,1.53000e+000,-6.63588e+001,1.53000e+000,3.18955e+001,1.53000e+000,-7.79541e+001
1.03000e-001,7.36489e-003,1.54500e+000,-6.64151e+001,1.54500e+000,3.18769e+001,1.54500e+000,-7.81171e+001
1.04000e-001,1.08642e-002,1.56000e+000,-6.64911e+001,1.56000e+000,3.17885e+001,1.56000e+000,-7.83076e+001
1.05000e-001,1.08750e-002,1.57500e+000,-6.65716e+001,1.57500e+000,3.16930e+001,1.57500e+000,-7.84323e+001
1.06000e-001,1.08763e-002,1.59000e+000,-6.66853e+001,1.59000e+000,3.15619e+001,1.59000e+000,-7.85494e+001
1.07000e-001,1.08770e-002,1.60500e+000,-6.67656e+001,1.60500e+000,3.14541e+001,1.60500e+000,-7.86156e+001
1.08000e-001,1.08756e-002,1.62000e+000,-6.68496e+001,1.62000e+000,3.13652e+001,1.62000e+000,-7.87227e+001
1.09000e-001,1.03197e-002,1.63500e+000,-6.69108e+001,1.63500e+000,3.13130e+001,1.63500e+000,-7.87721e+001
1.10000e-001,7.81305e-003,1.65000e+000,-6.69867e+001,1.65000e+000,3.12842e+001,1.65000e+000,-7.88637e+001
1.11000e-001,4.80015e-003,1.66500e+000,-6.71030e+001,1.66500e+000,3.12630e+001,1.66500e+000,-7.90080e+001
1.12000e-001,9.63220e-003,1.68000e+000,-6.71842e+001,1.68000e+000,3.12568e+001,1.68000e+000,-7.91243e+001
1.13000e-001,1.01136e-002,1.69500e+000,-6.72480e+001,1.69500e+000,3.12611e+001,1.69500e+000,-7.92730e+001
1.14000e-001,9.91485e-003,1.71000e+000,-6.72694e+001,1.71000e+000,3.12621e+001,1.71000e+000,-7.93358e+001
1.15000e-001,9.71881e-003,1.72500e+000,-6.72754e+001,1.72500e+000,3.12801e+001,1.72500e+000,-7.93570e+001
1.16000e-001,9.56371e-003,1.74000e+000,-6.72896e+001,1.74000e+000,3.12833e+001,1.74000e+000,-7.94040e+001
1.17000e-001,9.39788e-003,1.75500e+000,-6.73310e+001,1.75500e+000,3.12506e+001,1.75500e+000,-7.94004e+001
1.18000e-001,9.23943e-003,1.77000e+000,-6.74143e+001,1.77000e+000,3.11730e+001,1.77000e+000,-7.94914e+001
1.19000e-001,9.08232e-003,1.78500e+000,-6.74788e+001,1.78500e+000,3.10961e+001,1.78500e+000,-7.96300e+001
1.20000e-001,8.93126e-003,1.80000e+000,-6.75654e+001,1.80000e+000,3.10012e+001,1.80000e+000,-7.98355e+001
1.21000e-001,6.55753e-003,1.81500e+000,-6.76336e+001,1.81500e+000,3.09467e+001,1.81500e+000,-7.99753e+001
1.22000e-001,-1.07249e-002,1.83000e+000,-6.77542e+001,1.83000e+000,3.09009e+001,1.83000e+000,-8.01681e+001
1.23000e-001,-1.09847e-002,1.84500e+000,-6.79864e+001,1.84500e+000,3.09185e+001,1.84500e+000,-8.05183e+001
